CAS No.,英文名稱,中文名稱
2629-72-3,4-Pyridinepropanol,4-吡啶丙醇
26348-70-9,L-Lysine methyl ester dihydrochloride,L-離胺酸甲酯二鹽酸鹽
2635-13-4,"5-Bromobenzo-1,3-dioxole","5-溴-1,3-苯并戴奧辛"
2637-34-5,2-Mercaptopyridine,2-巰基吡啶
26628-22-8,Sodium azide,疊氮化鈉
2674-34-2,"1,4-Dibromo-2,5-dimethoxybenzene","1,4-二溴-2,5-二甲氧基苯"
26798-33-4,(4-Nitrobenzyl)mercaptan,4-硝基苄硫醇
2690-08-6,Dioctyl sulfide,二辛基硫醚
27176-10-9,Potassium phosphate tribasic monohydrate,磷酸鉀(三鹼)一水合物 (註：此CAS常指DBSA，請核對)
273-13-2,"2,1,3-Benzothiadiazole","2,1,3-苯并噻二唑"
27329-70-0,(5-Formylfuran-2-yl)boronic acid,5-甲醛基-2-呋喃硼酸
2739-97-1,2-Pyridineacetonitrile,2-吡啶乙腈
274-07-7,Catecholborane,兒茶酚硼烷
274-09-9,"1,3-Benzodioxole","1,3-苯并戴奧辛 (胡椒環)"
2751-90-8,Tetraphenylphosphonium bromide,四苯基溴化鏻
27610-45-3,Sodium sulfide hydrate,硫化鈉水合物
277-65-3,10-Undecynoic acid,10-十一炔酸
2774-84-7,10-Undecyn-1-ol,10-十一炔-1-醇
2778-42-9,"1,3-Bis(1-isocyanato-1-methylethyl)benzene (TMXDI)","1,3-雙(1-異氰酸基-1-甲基乙基)苯"
27783-46-2,Lead(II) fluoride,氟化鉛(II)
2783-17-7,"1,12-Diaminododecane","1,12-十二烷二胺"
280-57-9,Triethylenediamine,三乙烯二胺 (DABCO)
28165-49-3,2-Bromo-6-methoxyphenol,2-溴-6-甲氧基苯酚
28177-48-2,"2,6-Difluorophenol","2,6-二氟苯酚"
2834-05-1,11-Bromoundecanoic acid,11-溴十一酸
28356-58-3,4-Pyridylacetic acid,4-吡啶乙酸
2857-97-8,Bromotrimethylsilane,溴三甲基矽烷
2857-97-8,Trimethylbromosilane,三甲基溴矽烷
2859-78-1,4-Bromoveratrole,"4-溴黎蘆醚 (4-溴-1,2-二甲氧基苯)"
288-32-4,Imidazole,咪唑
2885-00-9,1-Octadecanethiol,1-十八烷硫醇
2885-00-9,1-Octadecanethiol,1-十八硫醇
2917-26-2,1-Hexadecanethiol,1-十六硫醇
2923-18-4,Sodium trifluoroacetate,三氟乙酸鈉
2923-28-6,Silver trifluoromethanesulfonate,三氟甲磺酸銀
2926-29-6,Sodium triflinate (Sodium trifluoromethanesulfinate),三氟甲亞磺酸鈉
29504-81-2,2-Bromo-5-iodothiophene,2-溴-5-碘噻吩
2969-81-5,Ethyl 4-bromobutyrate,4-溴丁酸乙酯
29804-22-6,"cis-7,8-Epoxy-2-methyloctadecane","順-7,8-環氧-2-甲基十八烷"
29858-07-9,Magnesium bromide ethyl etherate,溴化鎂乙醚錯合物
300-85-6,3-Hydroxybutyric acid,3-羥基丁酸
3001-15-8,"4,4'-Diiodobiphenyl","4,4'-二碘聯苯"
302-17-0,Chloral hydrate,水合氯醛
30272-74-3,"3,7-Dihydrobenzo[1,2-b:4,5-b']difuran-2,6-dione","3,7-二氫苯并[1,2-b:4,5-b']二呋喃-2,6-二酮"
3029-19-4,1-Pyrenecarboxaldehyde,1-芘甲醛
3029-32-1,"6,13-Pentacenequinone","6,13-並五苯醌"
304680-35-1,1-Hexyl-3-methylimidazolium Hexafluorophosphate,1-己基-3-甲基咪唑六氟磷酸鹽
30515-28-7,7-Bromoheptanoic acid,7-溴庚酸
30525-89-4,Paraformaldehyde,多聚甲醛
30562-09-5,"cis-9, trans-11-Tetradecadienyl acetate","順-9,反-11-十四碳二烯乙酸酯"
3058-39-7,4-Iodobenzonitrile,4-碘苯甲腈
3068-76-6,N-[3-(Trimethoxysilyl)propyl]aniline,N-[3-(三甲氧基矽基)丙基]苯胺
3069-40-7,Trimethoxy(octyl)silane,三甲氧基辛基矽烷
307-55-1,Tricosafluorododecanoic acid,全氟十二酸
307-60-8,Perfluorododecyl iodide,全氟十二烷基碘
30964-00-2,6-Heptynoic acid,6-庚炔酸
3109-63-5,Tetra-n-butylammonium hexafluorophosphate,六氟磷酸四丁基銨
3109-63-5,Tetrabutylammonium hexafluorophosphate,六氟磷酸四丁基銨
311-28-4,Tetrabutylammonium iodide,四丁基碘化銨
311-28-4,Tetra-n-butylammonium iodide,四丁基碘化銨 (TBAI)
3115-68-2,Tetrabutylphosphonium bromide,溴化四丁基磷 (註：原清單缺陰離子，依CAS補齊)
31181-90-5,5-Bromopyridine-2-carbaldehyde,5-溴吡啶-2-甲醛
3132-99-8,3-Bromobenzaldehyde,3-溴苯甲醛
3140-93-0,"2,3-Dibromothiophene","2,3-二溴噻吩"
3141-26-2,"3,4-Dibromothiophene","3,4-二溴噻吩"
3141-27-3,"2,5-Dibromothiophene","2,5-二溴噻吩"
31486-86-9,"Thieno[3,2-b]thiophene-2-carboxaldehyde","噻吩并[3,2-b]噻吩-2-甲醛"
31551-45-8,"2,7-Dinitro-9-fluorenone","2,7-二硝基-9-芴酮"
31599-61-8,4-Iodo-o-xylene,4-碘鄰二甲苯
3163-76-6,"1,3,5-Benzenetricarboxaldehyde","1,3,5-苯三甲醛"
32005-36-0,Bis(dibenzylideneacetone)palladium(0),雙(二亞苄基丙酮)鈀(0)
3218-36-8,p-Phenylbenzaldehyde,4-聯苯甲醛
3222-48-8,6-Methylpyridine-3-carbonitrile,6-甲基吡啶-3-甲腈
32247-96-4,"3,5-Bis(trifluoromethyl)bromobenzene","3,5-雙(三氟甲基)溴苯"
32247-96-4,"3,5-Bis(trifluoromethyl)benzyl bromide","3,5-雙(三氟甲基)苄基溴"
32315-10-9,Triphosgene,三光氣 (固體光氣)
32316-92-0,2-Naphthaleneboronic acid,2-萘硼酸
32316-92-0,Naphthalene-2-boronic acid,2-萘硼酸
3236-71-3,"9,9-Bis(4-hydroxyphenyl)fluorene","9,9-雙(4-羥基苯基)芴"
3236-71-3,"4,4'-(9-Fluorenylidene)diphenol","4,4'-(9-芴亞基)二苯酚"
3240-34-4,Iodosobenzene diacetate,二乙酸碘苯 (PIDA)
3268-49-3,3-Methylthiopropanaldehyde,3-甲硫基丙醛
327-51-5,"1,4-Dibromo-2,5-difluorobenzene","1,4-二溴-2,5-二氟苯"
3282-73-3,Didodecyldimethylammonium bromide,雙十二烷基二甲基溴化銨 (DDAB)
32993-05-8,Chloro(cyclopentadienyl)bis(triphenylphosphine)ruthenium(II),氯(環戊二烯)雙(三苯基膦)釕(II)
3317-67-7,Cobalt(II) phthalocyanine,酞菁鈷
333-20-0,Potassium thiocyanate,硫氰酸鉀
333-47-1,4-Bromophenyl trifluoromethyl sulfide,4-溴苯基三氟甲基硫醚
3344-70-5,"1,12-Dibromododecane","1,12-二溴十二烷"
335-67-1,Perfluorooctanoic acid,全氟辛酸 (PFOA)
3350-78-5,"3,3-Dimethylacryloyl chloride","3,3-二甲基丙烯醯氯"
33524-31-1,"2,5-Dimethoxybenzyl alcohol","2,5-二甲氧基苯甲醇"
33685-54-0,"1,1,2,2-Tetrachloroethane-d2","1,1,2,2-四氯乙烷-d2"
33725-74-5,Tetrabutylammonium borohydride,硼氫化四丁基銨
3375-31-3,Palladium(II) acetate,醋酸鈀(II)
3375-31-3,Palladium(II) acetate,醋酸鈀
3385-94-2,Hexamethyldisilathiane,六甲基二矽硫烷
3396-17-6,"1,2-dicyanocyclobutane","1,2-二氰基環丁烷"
34010-21-4,(Z)-11-Hexadecenyl acetate,(Z)-11-十六烯乙酸酯
34202-69-2,Hexafluoroacetone trihydrate,六氟丙酮三水合物
344-03-6,"1,4-Dibromotetrafluorobenzene","1,4-二溴四氟苯"
344-04-0,Bromopentafluorobenzene,溴五氟苯
344-04-7,Bromopentafluorobenzene,溴五氟苯
34402-78-3,4-Methylpyrrole-2-carboxylic acid methyl ester,4-甲基吡咯-2-甲酸甲酯
34451-26-8,"1H,1H,2H,2H-Perfluorodecanethiol","1H,1H,2H,2H-全氟癸硫醇"
3449-28-3,Dibutyldichlorosilane,二丁基二氯矽烷
345-83-5,4-Fluorobenzophenone,4-氟二苯甲酮
3452-07-1,1-Eicosene,1-二十烯
3452-09-3,1-Nonyne,1-壬炔
34590-94-8,Di(propylene glycol) methyl ether,二丙二醇甲醚
34598-49-7,5-Bromo-1-indanone,5-溴-1-茚酮
3460-18-2,"1,4-Dibromo-2-nitrobenzene","1,4-二溴-2-硝基苯"
3460-24-0,"1-Chloro-2,5-dibromobenzene","1-氯-2,5-二溴苯"
34699-28-0,"1-(4-Bromophenyl)-1,2,2-triphenylethylene","1-(4-溴苯基)-1,2,2-三苯基乙烯"
3473-63-0,Formamidine acetate,甲脒醋酸鹽
3483-12-3,DL-Dithiothreitol,DL-二硫蘇糖醇 (DTT)
349-88-2,4-Fluorobenzenesulfonyl chloride,4-氟苯磺醯氯
34946-82-2,Copper(II) trifluoromethanesulfonate,三氟甲磺酸銅(II)
350-46-9,1-Fluoro-4-nitrobenzene,1-氟-4-硝基苯
3508-00-7,1-Bromoheptadecane,1-溴十七烷
3511-90-8,"4-Bromo-2,3,5,6-tetrafluoropyridine","4-溴-2,3,5,6-四氟吡啶"
35153-10-7,11-Dodecen-1-yl acetate,11-十二烯醇乙酸酯
352-34-1,4-Fluoroiodobenzene,4-氟碘苯
354-38-1,"2,2,2-Trifluoroacetamide","2,2,2-三氟乙醯胺"
355-43-1,Perfluoro-n-hexyl iodide,全氟己基碘
35578-47-3,"4,4'-Dibromobenzil","4,4'-二溴苯偶醯"
35660-94-7,Tigloyl Chloride,惕各醯氯
35661-60-0,Fmoc-Leu-OH,Fmoc-L-白胺酸
358-23-6,Trifluoromethanesulfonic anhydride,三氟甲磺酸酐
358-23-6,Trifluoromethanesulphonic anhydride,三氟甲磺酸酐
3581-91-7,"4,5-Dimethylthiazole","4,5-二甲基噻唑"
3593-75-7,"Dithieno[3,2-b:2',3'-d]thiophene","二噻吩并[3,2-b:2',3'-d]噻吩"
3597-91-9,4-Biphenylmethanol,4-聯苯甲醇
3652-90-2,2-Bromocarbazole,2-溴咔唑
366-18-7,"2,2'-Bipyridyl","2,2'-聯吡啶"
366-99-4,3-Fluoro-4-methoxyaniline,3-氟-4-甲氧基苯胺
3668-43-7,"trans-Cyclobutane-1,2-dicarbonyl chloride","反式-環丁烷-1,2-二甲醯氯"
36768-62-4,"2,2,6,6-Tetramethyl-4-piperidylamine","2,2,6,6-四甲基-4-哌啶胺"
3698-89-3,Dodecyl methyl sulfide,十二烷基甲基硫醚
371-40-4,4-Fluoroaniline,4-氟苯胺
371-41-5,4-Fluorophenol,4-氟苯酚
371-42-6,4-Fluorobenzenethiol,4-氟苯硫酚
372-09-8,Cyanoacetic acid,氰乙酸
372-20-3,3-Fluorophenol,3-氟苯酚
37222-66-5,Potassium peroxomonosulfate,過一硫酸鉀 (過硫酸氫鉀)
3731-53-1,4-(Aminomethyl)pyridine,4-(胺甲基)吡啶
375-22-4,Heptafluorobutyric acid,七氟丁酸
37517-81-0,Methyl malonyl chloride,甲基丙二酸單氯 (氯羰基乙酸甲酯)
376-06-7,Heptacosafluorotetradecanoic acid,全氟十四酸
37746-78-4,Ethyl 4-bromocrotonate,4-溴巴豆酸乙酯
37882-75-0,"Thieno[3,2-b]thiophene-2,5-dicarbaldehyde","噻吩并[3,2-b]噻吩-2,5-二甲醛"
38215-36-0,Coumarin 6,香豆素 6
385-00-2,"2,6-Difluorobenzoic acid","2,6-二氟苯甲酸"
389-58-2,"4H-Cyclopenta[2,1-b:3,4-b']dithiophene","4H-環戊[2,1-b:3,4-b']二噻吩"
392-56-3,Hexafluorobenzene,六氟苯
3937-56-2,"1,9-Nonanediol","1,9-壬二醇"
39416-48-3,Pyridinium bromide,溴化吡啶
3958-03-0,Tetrabromothiophene,四溴噻吩
39720-27-9,4-(Chloromethyl)phenyl acetate,乙酸-4-(氯甲基)苯酯
3978-81-2,4-tert-Butylpyridine,4-三級丁基吡啶
3978-81-2,4-tert-Butylpyridine,4-叔丁基吡啶
3988-03-2,"4,4'-Dibromobenzophenone","4,4'-二溴二苯甲酮"
402-49-3,4-(Trifluoromethyl)benzyl bromide,4-(三氟甲基)苄基溴
402-49-3,4-(Trifluoromethyl)benzyl bromide,4-(三氟甲基)溴化苄
402-50-6,4-(Trifluoromethyl)styrene,4-(三氟甲基)苯乙烯
403-62-4,3-Thiophenecarboxaldehyde,3-噻吩甲醛
4039-32-1,Lithium bis(Trimethylsilyl)Amide,雙(三甲基矽基)胺基鋰 (LiHMDS)
4044-65-9,p-Phenylene diisocyanate,對苯二異氰酸酯
4053-08-1,"4-Chloro-1,8-Naphthalic anhydride","4-氯-1,8-萘二甲酸酐"
4062-60-6,"N1,N2-Di-tert-butylethane-1,2-diamine","N,N'-二-三級丁基乙二胺"
406482-22-2,"1-Bromo-2,3-difluoro-4-methoxybenzene","1-溴-2,3-二氟-4-甲氧基苯"
407-25-0,Trifluoroacetic anhydride,三氟乙酸酐
407-25-0,Trifluoroacetic acid anhydride,三氟乙酸酐
4091-39-8,3-Chloro-2-butanone,3-氯-2-丁酮
4105-92-4,"Triethyl 1,3,5-benzenetricarboxylate","1,3,5-苯三甲酸三乙酯"
4111-54-0,Lithium diisopropylamide,二異丙基胺基鋰 (LDA)
4117-09-3,7-Bromo-1-heptene,7-溴-1-庚烯
4142-85-2,Bis(trichlorosilyl)methane,雙(三氯矽基)甲烷
41492-05-1,1-Bromo-4-(n-butyl)benzene,1-溴-4-正丁基苯
4202-14-6,Dimethyl (acetylmethyl)phosphonate,(乙醯甲基)膦酸二甲酯
4207-56-1,Phenyltrimethylammonium tribromide,苯基三甲基三溴化銨
4214-28-2,4-Iodo-m-xylene,4-碘間二甲苯
4221-98-1,(-)-alpha-Phellandrene,(-)-α-水芹烯
4224-70-8,6-Bromohexanoic acid,6-溴己酸
423-39-2,Perfluorobutyl iodide,全氟丁基碘
42366-72-3,Diazald-N-methyl-d3,N-甲基-d3-N-亞硝基對甲苯磺醯胺
4276-49-7,1-Bromoeicosane,1-溴二十烷
429-41-4,Tetrabutylammonium fluoride (TBAF),四丁基氟化銨 (TBAF)
429-42-5,Tetrabutylammonium tetrafluoroborate,四氟硼酸四丁基銨
4294-57-9,p-Tolylmagnesium bromide,對-甲苯基溴化鎂
431-03-8,"2,3-Butanedione","2,3-丁二酮 (雙乙醯)"
4316-58-9,Tris(4-bromophenyl)amine,三(4-溴苯基)胺
43192-33-2,4-Bromo-2-ethoxybenzaldehyde,4-溴-2-乙氧基苯甲醛
4334-87-6,3-(Ethoxycarbonyl)phenylboronic acid,3-(乙氧羰基)苯硼酸
4334-88-7,4-(Ethoxycarbonyl)phenylboronic acid,4-(乙氧羰基)苯硼酸
4347-33-5,5-Formyl-2-thiopheneboronic acid,5-甲醛基-2-噻吩硼酸
4347-33-5,5-Formylthiophene-2-boronic acid,5-甲醯基噻吩-2-硼酸
4388-22-1,Bis(phenylsulfonyl)sulfide,雙(苯磺醯基)硫醚
4408-64-4,Cerium(IV) sulfate hydrate,硫酸鈰(IV)水合物
4420-74-0,(3-Mercaptopropyl)trimethoxysilane (MPTMS),(3-巰基丙基)三甲氧基矽烷
4420-74-0,(3-Mercaptopropyl)trimethoxysilane,(3-巰基丙基)三甲氧基矽烷
4422-95-1,"Trimesic acid trichloride (1,3,5-Benzenetricarbonyl chloride)","1,3,5-苯三甲醯氯"
4422-95-1,Trimesic acid trichloride,均苯三甲醯氯
4426-47-5,1-Butylboronic acid,1-丁基硼酸
443-81-2,2-Bromo-3-fluorophenol,2-溴-3-氟苯酚
446-48-0,2-Fluorobenzyl bromide,2-氟溴化苄
4482-03-5,"2,2',4,4',6,6'-Hexamethylbiphenyl","2,2',4,4',6,6'-六甲基聯苯"
4498-99-1,4-Methylbenzyl mercaptan,4-甲基苄硫醇
4499-83-6,p-Sexiphenyl,對六聯苯
4509-90-4,5-Bromovaleryl chloride,5-溴戊醯氯
4526-07-2,"1,4-Bis(trimethylsilyl)-1,3-butadiyne","1,4-雙(三甲基矽基)-1,3-丁二炔"
4549-31-9,"1,7-Dibromoheptane","1,7-二溴庚烷"
4549-32-0,"1,8-Dibromooctane","1,8-二溴辛烷"
4549-33-1,"1,9-Dibromononane","1,9-二溴壬烷"
455-14-1,4-Aminobenzotrifluoride,4-胺基三氟甲苯
455-14-1,4-(Trifluoromethyl)aniline,4-(三氟甲基)苯胺
455-24-3,"alpha,alpha,alpha-Trifluoro-p-toluic acid","α,α,α-三氟對甲苯甲酸 (4-三氟甲基苯甲酸)"
455-24-3,"alpha,alpha,alpha-Trifluoro-p-toluic acid",4-(三氟甲基)苯甲酸
455-40-3,"3,5-Difluorobenzoic acid","3,5-二氟苯甲酸"
4556-23-4,4-Mercaptopyridine,4-巰基吡啶
4556-23-4,4-Pyridinethiol,4-巰基吡啶
456-22-4,4-Fluorobenzoic acid,4-氟苯甲酸
456-27-9,4-Nitrobenzenediazonium tetrafluoroborate,4-硝基苯重氮四氟硼酸鹽
458-50-4,4-Bromo-3-fluoroanisole,4-溴-3-氟苯甲醚
458-52-6,2-Fluoro-4-methoxyaniline,2-氟-4-甲氧基苯胺
459-46-1,4-Fluorobenzyl bromide,4-氟溴化苄
459-57-4,4-Fluorobenzaldehyde,4-氟苯甲醛
460-00-4,p-Fluorobromobenzene,對氟溴苯
461-17-6,"4-Iodo-1,1,1-trifluorobutane","4-碘-1,1,1-三氟丁烷"
461-96-1,"1-Bromo-3,5-difluorobenzene","1-溴-3,5-二氟苯"
4617-33-8,15-Hydroxypentadecanoic acid,15-羥基十五酸
462-06-6,Fluorobenzene,氟苯
462-08-8,3-Aminopyridine,3-胺基吡啶
463-71-8,Thiophosgene,硫光氣
4638-92-0,(+)-trans-Chrysanthemic acid,(+)-反式菊酸
4648-54-8,Azidotrimethylsilane,疊氮三甲基矽烷
4671-75-4,Tetradecylphosphonic acid,十四烷基膦酸
4701-17-1,5-Bromo-2-thiophenecarbaldehyde,5-溴-2-噻吩甲醛
4701-17-1,5-Bromo-2-thiophenecarboxaldehyde,5-溴-2-噻吩甲醛
4708-04-7,1-Propanephosphonic dichloride,1-丙基膦酸二氯
471-25-0,Propiolic acid,丙炔酸
471-34-1,Calcium carbonate,碳酸鈣
4712-55-4,Diphenyl phosphonate,亞磷酸二苯酯
473-15-4,beta-Eudesmol,β-桉葉醇
4733-50-0,"2,3-Dicyanohydroquinone","2,3-二氰基對苯二酚"
477-28-5,4-Diazodiphenylamine sulfate,4-重氮二苯胺硫酸鹽
477-75-8,Triptycene,三亞甲苯 (三蝶烯)
4786-20-3,Crotononitrile,巴豆腈
479-27-6,"1,8-Diaminonaphthalene","1,8-二胺基萘"
485-47-2,Ninhydrin,茚三酮
486-25-9,9-Fluorenone,9-芴酮
492-22-8,Thioxanthone,硫雜蒽酮
492-62-6,alpha-D-Glucose,α-D-葡萄糖
492-97-7,"2,2'-Bithiophene","2,2'-聯噻吩"
497-19-8,Sodium carbonate,碳酸鈉 (蘇打/純鹼)
497-19-8,Sodium carbonate,碳酸鈉 (純鹼)
497-19-8,Sodium carbonate,碳酸鈉
498-62-4,Thiophene-3-carboxaldehyde,3-噻吩甲醛
50-01-1,Guanidine hydrochloride,鹽酸胍
50-81-7,L-Ascorbic acid,L-抗壞血酸 (維生素C)
50-99-7,D-Glucose (Dextrose),D-葡萄糖
500-22-1,3-Pyridinecarboxaldehyde,3-吡啶甲醛
501-65-5,Diphenylacetylene,二苯乙炔
504-29-0,2-Aminopyridine,2-胺基吡啶
504-63-2,"1,3-Propanediol","1,3-丙二醇"
5048-19-1,5-Hexenenitrile,5-己烯腈
505-54-4,Hexadecanedioic acid,十六烷二酸
505-95-3,12-Hydroxydodecanoic acid,12-羥基十二酸
506-13-8,16-Hydroxyhexadecanoic acid,16-羥基十六酸
506-30-9,Arachidic acid,花生酸 (二十酸)
506-32-1,Arachidonic acid,花生四烯酸
506-46-7,Cerotic acid,蠟酸 (二十六酸)
506-50-3,Triacontanoic acid,三十酸
506-51-4,1-Tetracosanol,1-二十四醇
506-59-2,Dimethylamine hydrochloride,二甲胺鹽酸鹽
50638-46-5,4-Bromo-3-chloroanisole,4-溴-3-氯苯甲醚
50638-47-6,4-Bromo-2-chloroanisole,4-溴-2-氯苯甲醚
507-09-5,Thioacetic acid,硫代乙酸
50816-19-8,8-Bromo-1-octanol,8-溴-1-辛醇
51-17-2,Benzimidazole,苯并咪唑
51-45-6,Histamine,組織胺
51-79-6,Ethyl carbamate (Urethane),氨基甲酸乙酯
5111-65-9,2-Bromo-6-methoxynaphthalene,2-溴-6-甲氧基萘
5123-13-7,Phenylboronic acid neopentylglycol ester,苯硼酸新戊二醇酯
513-79-1,Cobalt(II) carbonate,碳酸鈷(II)
513-81-5,"2,3-Dimethyl-1,3-butadiene","2,3-二甲基-1,3-丁二烯"
51364-51-3,Tris(dibenzylideneacetone)dipalladium(0) (Pd2(dba)3),三(二亞苄基丙酮)二鈀(0)
51364-51-3,Tris(dibenzylideneacetone)dipalladium(0),三(二亞苄基丙酮)二鈀(0)
51364-51-3,Tris(dibenzylideneacetone)dipalladium(0),三(二亞苄基丙酮)二鈀
5137-55-3,Methyltrioctylammonium chloride (Aliquat 336),甲基三辛基氯化銨
51429-74-4,Phosphomolybdic acid hydrate,磷鉬酸水合物
5144-89-8,"1,10-Phenanthroline monohydrate","1,10-菲羅啉一水合物 (鄰菲羅啉)"
516-12-1,N-Iodosuccinimide (NIS),N-碘代丁二醯亞胺 (NIS)
516-12-1,N-Iodosuccinimide,N-碘代琥珀醯亞胺 (NIS)
5162-44-7,4-Bromo-1-butene,4-溴-1-丁烯
517-51-1,Rubrene,"紅螢烯 (5,6,11,12-四苯基丁省)"
5188-07-8,Sodium thiomethoxide,甲硫醇鈉
52-67-5,Penicillamine,青黴胺
520-26-3,Hesperidin,橙皮苷
52217-57-9,Trimethoxy(7-octen-1-yl)silane,7-辛烯基三甲氧基矽烷
524-42-5,"1,2-Naphthoquinone","1,2-萘醌"
52409-22-0,Tris(dibenzylideneacetone)dipalladium(0)-chloroform adduct,三(二亞苄基丙酮)二鈀-氯仿加成物
52462-29-0,Dichloro(p-cymene)ruthenium(II) dimer,二氯(對-傘花烴)釕(II)二聚體
52547-07-6,p-Xylylenebis(tetrahydrothiophenium chloride),對-二甲苯雙(四氫噻吩氯化物)
52548-14-8,2-Iodo-5-methylbenzoic acid,2-碘-5-甲基苯甲酸
526-75-0,"2,3-Xylenol","2,3-二甲基苯酚"
527-69-5,2-Furoyl chloride,2-呋喃甲醯氯
527-72-0,2-Thiophenecarboxylic acid,2-噻吩甲酸
5283-66-9,Octyltrichlorosilane,辛基三氯矽烷
529-28-2,2-Iodoanisole,2-碘苯甲醚
529-34-0,1-Tetralone,1-四氫萘酮
529-84-0,4-Methylesculetin,4-甲基七葉亭
5292-43-3,tert-Butyl bromoacetate,溴乙酸三級丁酯
5292-43-3,tert-Butyl bromoacetate,溴乙酸叔丁酯
530-48-3,"1,1-Diphenylethylene","1,1-二苯基乙烯"
530-59-6,Sinapic acid,芥子酸
530-62-1,"N,N'-Carbonyldiimidazole (CDI)","N,N'-碳二亞胺唑 (CDI)"
53001-73-3,"2,3,5,6-Tetrafluorobenzyl bromide","2,3,5,6-四氟苄基溴"
531-91-9,"N,N'-Diphenylbenzidine","N,N'-二苯基聯苯胺"
53199-31-8,Bis(tri-tert-butylphosphine)palladium(0),雙(三-三級丁基膦)鈀(0)
532-28-5,Mandelonitrile,苯乙醇腈
532-32-1,Sodium benzoate,苯甲酸鈉
5324-30-1,Diethyl 2-bromoethylphosphonate,2-溴乙基膦酸二乙酯
5326-34-1,4-Bromo-3-nitrotoluene,4-溴-3-硝基甲苯
53293-00-8,5-Hexynoic acid,5-己炔酸
5332-06-9,4-Bromobutyronitrile,4-溴丁腈
534-17-8,Cesium carbonate,碳酸銫
534-85-0,2-Aminodiphenylamine,2-胺基二苯胺
5345-54-0,3-Chloro-4-methoxyaniline,3-氯-4-甲氧基苯胺
53463-68-6,10-Bromo-1-decanol,10-溴-1-癸醇
535-87-5,"3,5-Diaminobenzoic acid","3,5-二胺基苯甲酸"
536-74-3,Phenylacetylene,苯乙炔
53760-27-3,"4,4'-Diaminodiphenylamine Sulfate","4,4'-二胺基二苯胺硫酸鹽"
538-75-0,"N,N'-Dicyclohexylcarbodiimide (DCC)","N,N'-二環己基碳二亞胺 (DCC)"
5390-04-5,4-Pentyn-1-ol,4-戊炔-1-醇
5392-40-5,Citral,檸檬醛
53939-28-9,cis-11-Hexadecenal,順-11-十六烯醛
540-09-0,12-Tricosanone,12-二十三酮
540-37-4,4-Iodoaniline,4-碘苯胺
540-38-5,4-Iodophenol,4-碘苯酚
540-51-2,2-Bromoethanol,2-溴乙醇
540-63-6,"1,2-Ethanedithiol","1,2-乙二硫醇"
540-69-2,Ammonium formate,甲酸銨
540-80-7,tert-Butyl nitrite,亞硝酸三級丁酯
540-84-1,"2,2,4-Trimethylpentane (Isooctane)","2,2,4-三甲基戊烷 (異辛烷)"
540-84-1,"2,2,4-Trimethylpentane","2,2,4-三甲基戊烷 (異辛烷)"
5407-04-5,3-Dimethylaminopropyl chloride hydrochloride,3-二甲胺基丙基氯鹽酸鹽
541-41-3,Ethyl chloroformate,氯甲酸乙酯
541-59-3,Maleimide,馬來醯亞胺
54149-17-6,1-Bromo-2-(2-methoxyethoxy)ethane,1-溴-2-(2-甲氧基乙氧基)乙烷
5419-55-6,Triisopropyl borate,硼酸三異丙酯
54193-36-1,"Poly(methacrylic acid, sodium salt)",聚甲基丙烯酸鈉
543-27-1,Isobutyl chloroformate,氯甲酸異丁酯
544-02-5,Isoamyl sulfide,異戊基硫醚
