CAS No.,英文名稱,中文名稱
75-78-5,Dimethyldichlorosilane,二甲基二氯矽烷
75-89-8,"2,2,2-Trifluoroethanol","2,2,2-三氟乙醇"
75-97-8,"3,3-Dimethyl-2-butanone","3,3-二甲基-2-丁酮 (頻哪酮)"
75-98-9,Pivalic acid (Trimethylacetic acid),三甲基乙酸 (特戊酸)
7529-22-8,4-Methylmorpholine N-oxide,N-甲基嗎啉-N-氧化物 (NMO)
754-34-7,Perfluoropropyl iodide,全氟丙基碘 (七氟碘丙烷)
7550-45-0,Titanium tetrachloride,四氯化鈦
7553-56-2,Iodine,碘
7558-79-4,Disodium hydrogen phosphate,磷酸氫二鈉
7558-80-7,Sodium phosphate monobasic,磷酸二氫鈉
7560-83-0,N-Methyldicyclohexylamine,N-甲基二環己胺
759-36-4,Diethyl isopropylmalonate,異丙基丙二酸二乙酯
76-03-9,Trichloroacetic acid,三氯乙酸
76-04-0,Chlorodifluoroacetic acid,氯二氟乙酸
76-05-1,Trifluoroacetic acid (TFA),三氟乙酸 (TFA)
76-05-1,Trifluoroacetic acid (TFA),三氟乙酸
76-05-1,Trifluoroacetic acid,三氟乙酸
76-09-5,"Pinacol (2,3-Dimethyl-2,3-butanediol)","頻那醇 (2,3-二甲基-2,3-丁二醇)"
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane","1,1,2-三氯-1,2,2-三氟乙烷"
76-49-3,Bornyl acetate,乙酸龍腦酯
76-83-5,Trityl chloride (Triphenylmethyl chloride),三苯甲基氯 (三苯基氯甲烷)
76-84-6,Triphenylmethanol,三苯甲醇
76-86-8,Triphenylsilyl chloride,三苯基氯矽烷
762-04-9,Diethyl phosphite,亞磷酸二乙酯
762-21-0,Diethyl acetylenedicarboxylate,乙炔二甲酸二乙酯
762-42-5,Dimethyl acetylenedicarboxylate,乙炔二甲酸二甲酯
763-32-6,3-Methyl-3-buten-1-ol,3-甲基-3-丁烯-1-醇
7631-86-9,Silicon dioxide,二氧化矽
7631-90-5,Sodium bisulfite,亞硫酸氫鈉
7631-99-4,Sodium nitrate,硝酸鈉
7632-00-0,Sodium nitrite,亞硝酸鈉
764-93-2,1-Decyne,1-癸炔
7646-69-7,Sodium hydride,氫化鈉
7646-78-8,Stannic chloride (Tin(IV) chloride),氯化錫(IV) (四氯化錫)
7646-79-9,Cobalt(II) chloride,氯化鈷(II)
7646-85-7,Zinc chloride,氯化鋅
7646-93-7,Potassium hydrogen sulphate,硫酸氫鉀
7647-01-0,Hydrochloric acid,鹽酸
7647-01-0,Hydrochloric acid,鹽酸 (註：原輸入名稱為氫碘酸，但CAS為鹽酸)
7647-10-1,Palladium(II) chloride,氯化鈀(II)
7647-14-5,Sodium chloride,氯化鈉 (食鹽)
7647-78-8,Tin (IV) chloride,氯化錫 (四氯化錫)
765-03-7,1-Dodecyne,1-十二炔
765-10-6,1-Tetradecyne,1-十四炔
765-13-9,1-Pentadecyne,1-十五炔
7664-38-2,Phosphoric acid,磷酸
7664-41-7,Ammonia,氨 (氨水)
7664-93-9,Sulfuric acid,硫酸
767-00-0,4-Cyanophenol,4-氰基苯酚
768-60-5,4-Ethynylanisole,4-乙炔基苯甲醚
7681-11-0,Potassium iodide,碘化鉀
7681-38-1,Sodium hydrogen sulfate,硫酸氫鈉
7681-49-4,Sodium fluoride,氟化鈉
7681-52-9,Sodium hypochlorite,次氯酸鈉 (漂白水)
7681-57-4,Sodium metabisulfite,偏亞硫酸氫鈉 (焦亞硫酸鈉)
7681-57-4,Sodium metabisulfite,偏亞硫酸氫鈉
7681-65-4,Copper(I) iodide (CuI),碘化亞銅
7681-65-4,Copper(I) iodide,碘化亞銅
7681-82-5,Sodium iodide,碘化鈉
7681-82-5,Sodium iodide (Anhydrous),碘化鈉 (無水)
7681-82-5,Sodium iodide anhydrous,碘化鈉 (無水)
7697-37-2,Nitric acid,硝酸
7699-45-8,Zinc bromide,溴化鋅
77-09-8,Phenolphthalein,酚酞
77-48-5,"1,3-Dibromo-5,5-dimethylhydantoin","1,3-二溴-5,5-二甲基海因"
77-54-3,Cedryl acetate,乙酸柏木酯
77-58-7,Di-n-butyltin dilaurate,二月桂酸二丁基錫
77-75-8,3-Methyl-1-pentyn-3-ol,3-甲基-1-戊炔-3-醇
77-92-9,Citric acid,檸檬酸
770-10-5,Benzyltrichlorosilane,苄基三氯矽烷
7704-34-9,Sulfur powder,硫粉
7704-34-9,Sulfur,硫磺 (硫粉)
7704-34-9,Sulfur,硫 (硫磺)
7705-08-0,Iron(III) chloride (anhydrous),氯化鐵(III) (無水)
7705-08-0,"Ferric chloride, anhydrous",氯化鐵 (無水)
771-97-1,"2,3-Diaminonaphthalene","2,3-二胺基萘"
7719-09-7,Thionyl chloride,亞硫醯氯 (二氯亞碸)
7719-12-2,Phosphorus trichloride,三氯化磷
7722-64-7,Potassium permanganate,過錳酸鉀
7722-64-7,Potassium permanganate,高錳酸鉀
7722-64-7,Potassium permanganate,過錳酸鉀 (高錳酸鉀)
7722-84-1,Hydrogen peroxide,過氧化氫 (雙氧水)
7726-95-6,Bromine,溴 (液溴)
7727-21-1,Potassium persulfate,過硫酸鉀
7727-54-0,Ammonium persulfate (APS),過硫酸銨 (APS)
7735-42-4,"1,16-Hexadecanediol","1,16-十六烷二醇"
7757-79-1,Potassium nitrate,硝酸鉀
7757-82-6,Sodium sulfate,硫酸鈉
7757-83-7,Sodium sulfite,亞硫酸鈉
7758-01-2,Potassium bromate,溴酸鉀
7758-02-3,Potassium bromide,溴化鉀
7758-05-6,Potassium iodate,碘酸鉀
7758-19-2,Sodium chlorite,亞氯酸鈉
7758-89-6,Copper(I) chloride,氯化亞銅
7758-95-4,Lead(II) chloride,氯化鉛
7758-98-7,Copper(II) sulfate (anhydrous),硫酸銅 (無水)
7758-98-7,Copper sulfate,硫酸銅
7761-88-8,Silver nitrate,硝酸銀
77657-78-4,"(2E,4Z)-Undeca-2,4-dien-1-ol","(2E,4Z)-十一-2,4-二烯-1-醇"
7766-50-9,11-Bromo-1-undecene,11-溴-1-十一烯
7770-45-8,4-Hydroxy-1-naphthaldehyde,4-羥基-1-萘甲醛
7772-98-7,Sodium thiosulfate,硫代硫酸鈉 (海波)
7772-99-8,Tin(II) chloride,氯化錫(II)
7772-99-8,Tin(II) chloride,氯化亞錫 (氯化錫(II))
7778-18-9,Calcium sulfate (Drierite),硫酸鈣 (乾燥劑)
7778-53-2,Potassium phosphate tribasic,磷酸鉀 (三鉀)
7778-77-0,Potassium dihydrogen phosphate,磷酸二氫鉀
7778-77-0,Potassium phosphate monobasic,磷酸二氫鉀 (磷酸一鉀)
7778-80-5,Potassium sulfate,硫酸鉀
7782-42-5,"Graphite, amorphous",無定形石墨
7782-42-5,Graphite powder,石墨粉
7782-42-5,Graphite,石墨
7782-68-5,Iodic acid,碘酸
7782-89-0,Lithium amide,胺基鋰
7782-92-5,Sodium amide,胺基鈉
7783-03-1,Tungstic acid,鎢酸
7783-90-6,Silver chloride,氯化銀
7783-96-2,Silver iodide,碘化銀
7784-27-2,Aluminum nitrate enneahydrate,硝酸鋁九水合物
7785-23-1,Silver bromide,溴化銀
7785-26-4,(-)-alpha-Pinene,(-)-α-蒎烯
7787-70-4,Copper(I) bromide,溴化亞銅
7789-17-5,Cesium iodide,碘化銫
7789-20-0,Deuterium oxide,氧化氘 (重水)
7789-20-0,Deuterium oxide (Heavy water),氧化氘 (重水)
7789-23-3,Potassium fluoride,氟化鉀
7789-45-9,Copper(II) bromide,溴化銅
7789-45-9,Copper dibromide,溴化銅
7789-60-8,Phosphorus tribromide,三溴化磷
7789-78-8,Calcium hydride,氫化鈣
7790-28-5,Sodium periodate,過碘酸鈉
7790-62-7,Potassium disulfate (Potassium pyrosulfate),焦硫酸鉀
7790-94-5,Chlorosulphonic acid,氯磺酸
7790-99-0,Iodine monochloride,一氯化碘
7791-20-0,Nickel(II) chloride hexahydrate,氯化鎳(II)六水合物
7791-25-5,Sulfuryl chloride,硫醯氯
78-10-4,Tetraethyl orthosilicate,正矽酸四乙酯 (TEOS)
78-39-7,Triethyl orthoacetate,原乙酸三乙酯
78-40-0,Triethyl phosphate,磷酸三乙酯
78-67-1,"AIBN (2,2'-Azobisisobutyronitrile)",偶氮二異丁腈
78-67-1,Azobisisobutyronitrile (AIBN),偶氮二異丁腈 (AIBN)
78-67-1,Azodiisobutyronitrile,偶氮二異丁腈 (AIBN)
78-77-3,1-Bromo-2-methylpropane,1-溴-2-甲基丙烷
78-79-5,Isoprene,異戊二烯
78-93-3,Methyl ethyl ketone (MEK),甲乙酮 (MEK)
78-93-3,Methyl ethyl ketone,甲乙酮 (2-丁酮)
7803-55-6,Ammonium metavanadate,偏釩酸銨
7803-57-8,Hydrazine monohydrate,水合聯氨 (水合肼)
7803-57-8,Hydrazine monohydrate,水合聯氨
78560-44-8,"1H,1H,2H,2H-Perfluorodecyltrichlorosilane","(1H,1H,2H,2H-全氟癸基)三氯矽烷"
78560-45-9,"Trichloro(1H,1H,2H,2H-perfluorooctyl)silane","(1H,1H,2H,2H-全氟辛基)三氯矽烷"
79-04-9,Chloroacetyl chloride,氯乙醯氯
79-10-7,Acrylic acid,丙烯酸
79-14-1,Hydroxyacetic acid,羥基乙酸 (乙醇酸)
79-20-9,Methyl acetate,醋酸甲酯
79-30-1,Isobutyryl chloride,異丁醯氯
79-37-8,Oxalyl chloride,草醯氯
79-43-6,Dichloroacetic acid,二氯乙酸
79-46-9,2-Nitropropane,2-硝基丙烷
79887-09-5,1-Butyl-4-ethynylbenzene,1-丁基-4-乙炔基苯
80-11-5,N-Methyl-N-(p-tolylsulfonyl)nitrosamide,N-甲基-N-亞硝基對甲苯磺醯胺 (Diazald)
8000-28-0,Lavender oil,薰衣草油
8006-90-4,Peppermint oil,薄荷油
8007-02-1,Lemongrass oil,檸檬草油
8017-16-1,Polyphosphoric acid,多磷酸
8042-47-5,Mineral oil,礦物油
81-30-1,"1,4,5,8-Naphthalenetetracarboxylic dianhydride","1,4,5,8-萘四甲酸二酐"
81-64-1,Quinizarin,"奎茜 (1,4-二羥基蒽醌)"
81-84-5,"1,8-Naphthalic anhydride","1,8-萘二甲酸酐"
811-98-3,Methanol-d4,甲醇-d4
811-98-3,Methanol-d4,甲醇-d4 (氘代甲醇)
81290-20-2,Trifluoromethyltrimethylsilane (Ruppert-Prakash reagent),三氟甲基三甲基矽烷
81290-20-2,Trifluoromethyltrimethylsilane,三氟甲基三甲基矽烷
813-19-4,Hexabutyldistannane,六丁基二錫
813-19-4,Hexa-n-butylditin,六正丁基二錫
814-49-3,Diethyl chlorophosphate,氯磷酸二乙酯
814-68-6,Acrylyl chloride,丙烯醯氯
82-05-3,Benzanthrone,苯并蒽酮
82-43-9,"1,8-Dichloroanthraquinone","1,8-二氯蒽醌"
82-45-1,1-Aminoanthraquinone,1-胺基蒽醌
82-46-2,"1,5-Dichloroanthraquinone","1,5-二氯蒽醌"
821-09-0,4-Penten-1-ol,4-戊烯-1-醇
821-10-3,"1,4-Dichloro-2-butyne","1,4-二氯-2-丁炔"
821-38-5,Tetradecanedioic acid,十四烷二酸
821-41-0,5-Hexen-1-ol,5-己烯-1-醇
822-21-9,7-Hexadecyn-1-ol,7-十六炔-1-醇
822-38-8,N-Methyliminodiacetic acid,N-甲基亞胺二醋酸
822-38-8,"1,3-Dithiolane-2-thione","1,3-二硫雜環戊烷-2-硫酮"
822-39-9,"2-Chloro-1,3,2-dioxaphospholane","2-氯-1,3,2-二氧磷雜環戊烷"
823-40-5,"2,6-Diaminotoluene","2,6-二胺基甲苯"
823-85-8,4-Fluorophenylhydrazine hydrochloride,4-氟苯肼鹽酸鹽
824-92-4,4-Methoxybenzyl chloride,4-甲氧基苄基氯
824-94-2,4-Methoxybenzyl chloride,4-甲氧基苄基氯
824-94-2,4-Methoxybenzyl chloride,4-甲氧基氯化苄
826-81-3,8-Hydroxyquinaldine,8-羥基-2-甲基喹啉
827-15-6,Pentafluoroiodobenzene,五氟碘苯
827-15-6,Iodopentafluorobenzene,五氟碘苯
83-73-8,"5,7-Diiodo-8-hydroxyquinoline","5,7-二碘-8-羥基喹啉"
830-81-9,alpha-Naphthyl acetate,乙酸-α-萘酯
837-97-8,3-(Pyridin-2-yl)-2H-chromen-2-one,3-(2-吡啶基)香豆素
84-11-7,"Phenanthrene-9,10-quinone","9,10-菲醌"
84-15-1,o-Terphenyl,鄰-三聯苯
84-58-2,"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone (DDQ)","2,3-二氯-5,6-二氰基對苯醌 (DDQ)"
84-58-2,DDQ,"2,3-二氯-5,6-二氰基-1,4-苯醌"
84-65-1,Anthraquinone,蒽醌
84-88-8,8-Hydroxyquinoline-5-sulfonic acid,8-羥基喹啉-5-磺酸
84392-17-6,4'-(Trifluoromethyl)-2-biphenylcarboxylic acid,4'-(三氟甲基)-2-聯苯甲酸
84787-70-2,Sandalwood oil,檀香油
849062-34-6,"2-Bromo-4,5-difluorophenylboronic acid","2-溴-4,5-二氟苯硼酸"
85-01-8,Phenanthrene,菲
85-44-9,Phthalic anhydride,鄰苯二甲酸酐
85-52-9,2-Benzoylbenzoic acid,2-苯甲醯基苯甲酸
850881-09-3,3-Hexylthiophene-2-boronic acid pinacol ester,3-己基-2-噻吩硼酸頻那醇酯
86-48-6,1-Hydroxy-2-naphthoic acid,1-羥基-2-萘甲酸
86-55-5,1-Naphthoic acid,1-萘甲酸
86-73-7,Fluorene,芴
86-74-8,Carbazole,咔唑
86-87-3,1-Naphthylacetic acid,1-萘乙酸
86-90-8,4-Bromophthalic anhydride,4-溴鄰苯二甲酸酐
86-90-8,Benzophenone,二苯甲酮
862248-93-9,"3,4,5-Trichlorophenylboronic acid","3,4,5-三氯苯硼酸"
865-47-4,Potassium tert-butoxide,三級丁醇鉀 (叔丁醇鉀)
865-47-4,Potassium tert-butoxide,三級丁醇鉀
865-48-5,Sodium tert-butoxide,三級丁醇鈉 (叔丁醇鈉)
865-49-6,Hydrazine Monohydrate (Note: CAS 865-49-6 is typically Chloroform-d),水合聯氨 (註：此 CAS 通常指氘代氯仿)
865-49-6,Chloroform-d,氘代氯仿
865-49-6,Chloroform-d,氯仿-d (氘代氯仿)
867-13-0,Triethyl phosphonoacetate,膦酸乙酸三乙酯
867-13-0,Triethyl phosphonoacetate,膦醯基乙酸三乙酯
868-77-9,2-Hydroxyethyl methacrylate,甲基丙烯酸-2-羥乙酯 (HEMA)
868-85-9,Dimethyl phosphonate,亞磷酸二甲酯
87-25-2,Ethyl anthranilate,鄰胺基苯甲酸乙酯
87-59-2,"2,3-Xylidine","2,3-二甲基苯胺"
871-70-5,"1,18-Octadecanedioic Acid",十八烷二酸
871-91-0,7-Octyn-1-ol,7-辛炔-1-醇
87199-17-5,4-Formylphenylboronic acid,4-甲醛基苯硼酸
872-05-9,1-Decene,1-癸烯
872-10-6,n-Amyl sulfide,二戊基硫醚 (二正戊硫醚)
872-31-1,3-Bromothiophene,3-溴噻吩
872-36-6,Vinylene carbonate,碳酸亞乙烯酯
872-50-4,N-Methyl-2-pyrrolidone (NMP),N-甲基-2-吡咯烷酮 (NMP)
872-50-4,N-Methylpyrrolidinone,N-甲基吡咯烷酮 (NMP)
873-74-5,4-Aminobenzonitrile,4-胺基苯甲腈
87749-50-6,Tetrabutylammonium fluoride trihydrate (TBAF),四丁基氟化銨三水合物 (TBAF)
87749-50-6,Tetrabutylammonium fluoride trihydrate,四丁基氟化銨三水合物
87890-91-3,Lithium carbonate,碳酸鋰
879-05-0,Pentafluorophenylmagnesium bromide,五氟苯基溴化鎂
879643-71-7,Formamidinium iodide (FAI),甲脒碘化銨 (FAI)
88-15-3,2-Acetylthiophene,2-乙醯基噻吩
88-21-1,2-Aminobenzene sulfonic acid,2-胺基苯磺酸
88-65-3,2-Bromobenzoic acid,2-溴苯甲酸
88-67-5,2-Iodobenzoic acid,2-碘苯甲酸
88-74-4,2-Nitroaniline,2-硝基苯胺
88-95-9,Phthaloyl dichloride,鄰苯二甲醯氯
88537-32-0,"4H-Dithieno[3,2-b:2',3'-d]pyrrole","4H-二噻吩并[3,2-b:2',3'-d]吡咯"
89-01-0,"2,3-Pyrazinedicarboxylic acid","2,3-吡嗪二羧酸"
89-25-8,3-Methyl-1-phenyl-5-pyrazolone,3-甲基-1-苯基-5-吡唑酮
89-32-7,Pyromellitic dianhydride (PMDA),均苯四甲酸二酐 (PMDA)
89-98-5,2-Chlorobenzaldehyde,2-氯苯甲醛
89598-96-9,3-Bromophenylboronic acid,3-溴苯硼酸
90-04-0,o-Anisidine,鄰甲氧基苯胺 (鄰茴香胺)
90-05-1,2-Methoxyphenol,2-甲氧基苯酚
90-11-9,1-Bromonaphthalene,1-溴萘
90-14-2,1-Iodonaphthalene,1-碘萘
90-15-3,1-Naphthol,1-萘酚
90-30-2,N-Phenyl-1-naphthylamine,N-苯基-1-萘胺
90-41-5,2-Aminobiphenyl,2-胺基聯苯
90-44-8,Anthrone,蒽酮
90-47-1,Xanthone,氧雜蒽酮 (二苯并吡喃酮)
90-90-4,4-Bromobenzophenone,4-溴二苯甲酮
90-96-0,"4,4'-Dimethoxybenzophenone","4,4'-二甲氧基二苯甲酮"
9002-83-9,Halocarbon Oil 700,氟碳油 700 (三氟氯乙烯聚合物)
9002-88-4,Poly(ethylene),聚乙烯
9002-89-5,Poly(vinyl alcohol),聚乙烯醇 (PVA)
9002-97-5,Poly(sodium vinylsulfonate),聚乙烯磺酸鈉
9003-11-6,Poloxamer (Polyethylene-polypropylene glycol),泊洛沙姆 (聚氧乙烯聚氧丙烯共聚物)
9003-39-8,Polyvinylpyrrolidone (PVP),"聚維酮 (PVP, 聚乙烯吡咯烷酮)"
90076-65-6,Bis(trifluoromethane)sulfonimide lithium salt,雙(三氟甲磺醯)亞胺鋰 (LiTFSI)
90076-65-6,Bis(trifluoromethane)sulfonimide lithium salt,雙(三氟甲磺醯)亞胺鋰
90076-65-6,Bis(trifluoromethane)sulfonimide lithium salt,雙(三氟甲烷磺醯)亞胺鋰 (Li-TFSI)
9011-14-7,Poly(methyl methacrylate) (PMMA),聚甲基丙烯酸甲酯 (PMMA)
9011-14-7,Poly(methyl methacrylate),聚甲基丙烯酸甲酯 (PMMA)
9037-24-5,Ion-exchange resin,離子交換樹脂
906372-08-5,"4,4-Dihexyl-4H-silolo[3,2-b:4,5-b']dithiophene (DTS)","4,4-二己基-4H-矽雜環戊二烯并[3,2-b:4,5-b']二噻吩 (DTS)"
91-13-4,"alpha,alpha'-Dibromo-o-xylene","α,α'-二溴鄰二甲苯"
91-16-7,"1,2-Dimethoxybenzene (Veratrole)","1,2-二甲氧基苯"
91-16-7,"1,2-Dimethoxybenzene","1,2-二甲氧基苯"
91-20-3,Naphthalene,萘
91-22-5,Quinoline,喹啉
91-40-7,N-Phenylanthranilic acid,N-苯基鄰胺基苯甲酸
91-44-1,7-Diethylamino-4-methylcoumarin,7-二乙胺基-4-甲基香豆素
91-58-7,2-Chloronaphthalene,2-氯萘
91-66-7,"N,N-Diethylaniline","N,N-二乙基苯胺"
91-95-2,"3,3'-Diaminobenzidine (DAB)","3,3'-二胺基聯苯胺 (DAB)"
917-23-7,"5,10,15,20-Tetraphenyl-21H,23H-porphine (TPP)","5,10,15,20-四苯基卟啉 (TPP)"
917-54-4,Methyllithium,甲基鋰
919-30-2,3-Aminopropyltriethoxysilane,3-胺基丙基三乙氧基矽烷 (APTES)
92-44-4,"2,3-Dihydroxynaphthalene","2,3-二羥基萘"
92-51-3,Bicyclohexyl,聯環己烷
92-52-4,Biphenyl,聯苯
92-69-3,4-Phenylphenol,4-苯基苯酚
92-82-0,Phenazine,吩嗪
92-84-2,Phenothiazine,吩噻嗪
92-86-4,"4,4'-Dibromobiphenyl","4,4'-二溴聯苯"
92-92-2,Biphenyl-4-carboxylic acid,4-聯苯甲酸
92-94-4,p-Terphenyl,對-三聯苯
92-94-4,p-Terphenyl,對三聯苯
920-39-8,Isopropylmagnesium bromide,異丙基溴化鎂
920-66-1,"1,1,1,3,3,3-Hexafluoro-2-propanol","1,1,1,3,3,3-六氟-2-丙醇 (HFIP)"
922-67-8,Methyl propiolate,丙炔酸甲酯
927-58-2,4-Bromobutyryl chloride,4-溴丁醯氯
927-74-2,3-Butyn-1-ol,3-丁炔-1-醇
928-65-4,Hexyltrichlorosilane,己基三氯矽烷
928-80-3,3-Decanone,3-癸酮
928-89-2,6-Chloro-1-hexene,6-氯-1-己烯
928-90-5,5-Hexyn-1-ol,5-己炔-1-醇
928-94-9,cis-2-Hexenol,順-2-己烯醇
928-95-0,trans-2-Hexen-1-ol,反式-2-己烯-1-醇
93-02-7,"2,5-Dimethoxybenzaldehyde","2,5-二甲氧基苯甲醛"
93-05-0,4-(Diethylamino)aniline,4-(二乙胺基)苯胺
93-07-2,"Veratric acid (3,4-Dimethoxybenzoic acid)","藜蘆酸 (3,4-二甲氧基苯甲酸)"
93-07-2,Veratric acid,藜蘆酸
93-08-3,2-Acetonaphthone,2-乙醯萘
93-52-7,"(1,2-Dibromoethyl)benzene","(1,2-二溴乙基)苯"
93-58-3,Methyl benzoate,苯甲酸甲酯
93-61-8,N-Methylformanilide,N-甲基甲醯苯胺
930-30-3,2-Cyclopenten-1-one,2-環戊烯-1-酮
931-87-3,cis-Cyclooctene,順-環辛烯
932-95-6,"2,5-Thiophenedicarboxaldehyde","2,5-噻吩二甲醛"
93324-65-3,1-Pyrenemethylamine hydrochloride,1-芘甲胺鹽酸鹽
937-14-4,3-Chloroperbenzoic acid (mCPBA),3-氯過氧苯甲酸 (mCPBA)
94-09-7,Ethyl 4-aminobenzoate (Benzocaine),4-胺基苯甲酸乙酯 (苯佐卡因)
94-36-0,Benzoyl peroxide (BPO),過氧化苯甲醯 (BPO)
94-36-0,Benzoyl peroxide,過氧化苯甲醯 (BPO)
941-55-9,p-Toluenesulfonyl azide,對甲苯磺醯疊氮
941-69-5,N-Phenylmaleimide,N-苯基馬來醯亞胺
941689-36-7,"N-alpha,N-alpha-Bis(carboxymethyl)-L-lysine","Nα,Nα-雙(羧甲基)-L-賴胺酸"
942-06-3,"4,5-Dichlorophthalic anhydride","4,5-二氯鄰苯二甲酸酐"
95-14-7,"1,2,3-Benzotriazole","1,2,3-苯并三唑"
95-15-8,Benzo[b]thiophene,苯并[b]噻吩
95-20-5,2-Methylindole,2-甲基吲哚
95-46-5,2-Bromotoluene,2-溴甲苯
95-47-6,o-Xylene,鄰二甲苯
95-50-1,o-Dichlorobenzene,鄰二氯苯
95-53-4,o-Toluidine,鄰-甲苯胺
95-54-5,o-Phenylenediamine,鄰苯二胺
95-55-6,2-Aminophenol,2-胺基苯酚
95-56-7,2-Bromophenol,2-溴苯酚
95-63-6,"1,2,4-Trimethylbenzene","1,2,4-三甲苯"
95-65-8,"3,4-Dimethylphenol","3,4-二甲基苯酚"
95-87-4,"2,5-Xylenol","2,5-二甲基苯酚"
95464-05-4,"[1,1'-Bis(diphenylphosphino)ferrocene]dichloropalladium(II), complex with dichloromethane","[1,1'-雙(二苯基膦)二鐵]二氯鈀二氯甲烷錯合物"
96-48-0,gamma-Butyrolactone,γ-丁內酯
96-54-8,N-Methylpyrrole,N-甲基吡咯
978-86-9,4-Tritylphenol,4-三苯甲基苯酚
98-03-3,Thiophene-2-carboxaldehyde,2-噻吩甲醛
98-13-5,Phenyltrichlorosilane,苯基三氯矽烷
98-57-7,4-Chlorophenyl methyl sulfone,4-氯苯基甲基碸
98-59-9,p-Toluenesulfonyl chloride (Tosyl chloride),對甲苯磺醯氯
98-59-9,p-Toluenesulfonyl chloride,對甲苯磺醯氯
98-74-8,4-Nitrobenzenesulfonyl chloride,4-硝基苯磺醯氯
98-80-6,Phenylboronic acid,苯硼酸
98-86-2,Acetophenone,苯乙酮
98-87-3,Benzal chloride,亞苄基二氯 (二氯甲基苯)
98-88-4,Benzoyl chloride,苯甲醯氯
98-91-9,Thiobenzoic acid,硫代苯甲酸
98-95-3,Nitrobenzene,硝基苯
98-97-5,Pyrazinecarboxylic acid,吡嗪甲酸
98-98-6,2-Picolinic acid,2-吡啶甲酸
98057-08-0,"5,5''-Dibromo-2,2':5',2''-terthiophene","5,5''-二溴-2,2':5',2''-三噻吩"
98327-87-8,"(±)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthalene (BINAP)","(±)-2,2'-雙(二苯基膦)-1,1'-聯萘 (BINAP)"
98327-87-8,"2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (BINAP)","2,2'-雙(二苯基膦)-1,1'-聯萘 (BINAP)"
98327-87-8,"(±)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (BINAP)","2,2'-雙(二苯基膦)-1,1'-聯萘 (BINAP)"
98433-41-1,6-(Methylthio)-1-hexanol,6-(甲硫基)-1-己醇
98437-23-1,Thianaphthene-2-boronic acid (Benzo[b]thiophene-2-boronic acid),苯并[b]噻吩-2-硼酸
98546-51-1,4-(Methylthio)phenylboronic acid,4-(甲硫基)苯硼酸
99-06-9,3-Hydroxybenzoic acid,3-羥基苯甲酸
99-10-5,"3,5-Dihydroxybenzoic Acid","3,5-二羥基苯甲酸"
99-27-4,Dimethyl 5-aminoisophthalate,5-胺基間苯二甲酸二甲酯
99-86-5,alpha-Terpinene,α-萜品烯
99-90-1,4-Bromoacetophenone,4-溴苯乙酮
99-96-7,4-Hydroxybenzoic acid,4-羥基苯甲酸
99-98-9,"N,N-Dimethyl-1,4-phenylenediamine","N,N-二甲基-1,4-苯二胺"
99-99-0,p-Nitrotoluene,對硝基甲苯
99685-96-8,Fullerene-C60,富勒烯 C60 (碳60)
99770-93-1,"1,4-Phenylenediboronic acid, bis(pinacol) ester","1,4-苯二硼酸雙(頻那醇)酯"
998-40-3,Tributylphosphine,三丁基膦
999-97-3,"1,1,1,3,3,3-Hexamethyldisilazane (HMDS)",六甲基二矽氮烷 (HMDS)
999-97-3,Hexamethyldisilazane (HMDS),六甲基二矽氮烷 (HMDS)
999-97-3,Hexamethyldisilazane,六甲基二矽氮烷 (HMDS)